City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Klaksvik,FO,62.2266,-6.589,49.12,88,98,15.12,overcast clouds
80,Clyde River,CA,70.4692,-68.5914,28.63,100,90,3.44,light snow
81,Byron Bay,AU,-28.65,153.6167,71.56,65,0,4.65,clear sky
82,Kodiak,US,57.79,-152.4072,53.11,76,1,0.0,clear sky
83,Sterling,US,39.0062,-77.4286,70.59,90,100,1.99,overcast clouds
84,Camopi,GF,3.1655,-52.3158,70.95,100,95,1.41,overcast clouds
85,Ushtobe,KZ,45.2514,77.9838,74.52,23,0,20.96,clear sky
86,Georgetown,MY,5.4112,100.3354,82.33,80,20,6.91,few clouds
87,Mbandaka,CD,0.0487,18.2603,71.64,89,80,3.49,broken clouds
88,Manado,ID,1.487,124.8455,83.17,89,40,3.44,moderate rain
89,Olinda,BR,-8.0089,-34.8553,71.33,83,40,8.05,scattered clouds
90,Baiao,BR,-2.7906,-49.6717,71.71,99,91,2.93,overcast clouds
91,Jingdezhen,CN,29.2947,117.2079,90.27,63,94,9.35,overcast clouds
92,Korla,CN,41.7597,86.1469,74.07,23,100,8.93,overcast clouds
93,Merritt Island,US,28.5392,-80.672,75.97,90,75,0.0,broken clouds
94,Cabo San Lucas,MX,22.8909,-109.9124,81.52,82,85,8.25,overcast clouds
95,Cumra,TR,37.5732,32.7745,62.74,44,26,1.05,scattered clouds
96,Salinopolis,BR,-0.6136,-47.3561,77.23,87,82,7.23,broken clouds
97,Khatanga,RU,71.9667,102.5,41.94,86,100,13.94,overcast clouds
98,Namatanai,PG,-3.6667,152.4333,83.17,72,25,8.81,scattered clouds
99,Mataura,NZ,-46.1927,168.8643,49.48,98,99,2.73,overcast clouds
100,Jumla,NP,29.2747,82.1838,59.34,91,100,2.55,overcast clouds
101,Atbasar,KZ,51.8,68.3333,79.34,32,15,10.2,few clouds
102,Port Elizabeth,ZA,-33.918,25.5701,55.69,82,0,5.75,clear sky
103,Fairbanks,US,64.8378,-147.7164,68.59,60,75,1.01,broken clouds
104,Ribeira Grande,PT,38.5167,-28.7,68.0,82,14,2.46,few clouds
105,Longyearbyen,SJ,78.2186,15.6401,33.64,60,75,13.8,broken clouds
106,Avarua,CK,-21.2078,-159.775,73.45,68,40,5.75,light rain
107,Richards Bay,ZA,-28.783,32.0377,66.74,47,0,6.62,clear sky
108,Portland,US,45.5234,-122.6762,63.25,93,90,1.01,overcast clouds
109,Sal Rei,CV,16.1833,-22.9167,73.96,91,23,18.97,few clouds
110,Isangel,VU,-19.55,169.2667,80.71,78,75,0.0,broken clouds
111,Altamira,BR,-3.2033,-52.2064,70.75,97,53,2.46,broken clouds
112,Bambous Virieux,MU,-20.3428,57.7575,76.21,69,20,16.11,few clouds
113,Coquimbo,CL,-29.9533,-71.3436,53.33,82,90,2.3,overcast clouds
114,Rinconada,MX,19.35,-96.5167,75.25,94,100,2.51,overcast clouds
115,Mecca,SA,21.4267,39.8261,106.2,7,2,7.72,clear sky
116,Carnarvon,AU,-24.8667,113.6333,73.47,53,1,19.57,clear sky
117,Mama,RU,58.3106,112.8986,72.5,29,97,4.97,overcast clouds
118,Chokurdakh,RU,70.6333,147.9167,67.82,29,100,2.51,overcast clouds
119,Upernavik,GL,72.7868,-56.1549,33.89,77,100,6.08,overcast clouds
120,Muroto,JP,33.2833,134.15,75.24,82,92,6.78,overcast clouds
121,Pithoragarh,IN,29.5833,80.2167,78.93,55,2,3.89,clear sky
122,Rapid Valley,US,44.0625,-103.1463,73.0,64,1,5.75,clear sky
123,Atar,MR,20.5169,-13.0499,90.54,15,54,19.1,broken clouds
124,Nelson Bay,AU,-32.7167,152.15,65.28,59,11,1.99,few clouds
125,Alice Springs,AU,-23.7,133.8833,74.21,21,37,11.99,scattered clouds
126,Verkhnevilyuysk,RU,63.4453,120.3167,72.9,29,100,3.31,overcast clouds
127,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,9.22,fog
128,Dickinson,US,29.4608,-95.0513,87.13,79,75,3.44,broken clouds
129,Yellowknife,CA,62.456,-114.3525,61.32,63,40,13.8,scattered clouds
130,Norman Wells,CA,65.282,-126.8329,50.04,76,75,9.22,broken clouds
131,Katsuura,JP,35.1333,140.3,76.1,79,97,10.29,overcast clouds
132,Traismauer,AT,48.3519,15.7635,58.82,75,2,4.47,clear sky
133,Zalantun,CN,48.0,122.7167,77.5,61,100,18.63,moderate rain
134,Kharp,RU,66.8014,65.8081,73.0,41,69,6.04,broken clouds
135,Kruisfontein,ZA,-34.0033,24.7314,56.32,78,96,5.64,overcast clouds
136,Hithadhoo,MV,-0.6,73.0833,82.92,74,54,10.47,broken clouds
137,Provideniya,RU,64.3833,-173.3,35.94,96,100,11.56,light rain
138,Inhambane,MZ,-23.865,35.3833,55.38,94,20,0.0,few clouds
139,Cidreira,BR,-30.1811,-50.2056,58.21,81,0,11.23,clear sky
140,Coolum Beach,AU,-26.5333,153.1,71.11,67,82,4.32,broken clouds
141,Mercedes,AR,-34.6515,-59.4307,54.84,90,11,7.43,few clouds
142,Nova Gradiska,HR,45.255,17.3831,61.84,61,0,5.97,clear sky
143,Husavik,IS,66.0449,-17.3389,37.31,88,100,8.46,overcast clouds
144,Severo-Kurilsk,RU,50.6789,156.125,44.04,94,100,15.66,light rain
145,Isla Vista,US,34.4133,-119.861,69.33,69,1,10.36,clear sky
146,Jamestown,US,42.097,-79.2353,62.1,78,3,3.0,clear sky
147,Katherine,AU,-14.4667,132.2667,91.72,27,91,6.91,overcast clouds
148,Slonim,BY,53.0867,25.3219,55.24,76,87,13.09,overcast clouds
149,Timra,SE,62.487,17.3257,53.67,78,0,2.3,clear sky
150,Kearney,US,40.6995,-99.0815,74.44,53,1,3.44,clear sky
151,Ahtopol,BG,42.1,27.95,63.07,69,47,11.52,scattered clouds
152,Saint George,US,37.1041,-113.5841,91.99,13,1,12.66,clear sky
153,Maragogi,BR,-9.0122,-35.2225,74.34,87,66,6.69,broken clouds
