City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kodinsk,RU,2021-06-13 23:25:48,58.6881,99.1844,45.41,96,100,10.89
67,Bucerias,MX,2021-06-13 23:25:48,20.75,-105.3333,82.38,78,90,2.3
68,Sawakin,SD,2021-06-13 23:25:49,19.1059,37.3321,90.18,45,10,8.03
69,Kununurra,AU,2021-06-13 23:25:49,-15.7667,128.7333,60.78,77,65,0.0
70,Hermanus,ZA,2021-06-13 23:25:50,-34.4187,19.2345,53.91,88,61,2.39
71,Vaini,TO,2021-06-13 23:25:50,-21.2,-175.2,78.96,73,20,8.05
72,Ambon,ID,2021-06-13 23:25:51,-3.6954,128.1814,77.14,94,40,14.97
73,Lata,PT,2021-06-13 23:21:57,40.1629,-8.3327,65.05,95,16,1.92
74,Ziebice,PL,2021-06-13 23:25:51,50.6012,17.0406,55.92,89,44,4.99
75,Port-Gentil,GA,2021-06-13 23:25:52,-0.7193,8.7815,78.76,89,40,8.05
76,Potiskum,NG,2021-06-13 23:25:52,11.7091,11.0694,87.12,45,86,11.14
77,Cowra,AU,2021-06-13 23:25:52,-33.8333,148.6833,52.27,71,55,0.98
78,Zambezi,ZM,2021-06-13 23:25:53,-13.5432,23.1047,51.19,46,44,6.11
79,Thompson,CA,2021-06-13 23:24:07,55.7435,-97.8558,53.76,76,90,9.22
80,Khatanga,RU,2021-06-13 23:25:53,71.9667,102.5,41.67,71,100,16.37
81,Okhotsk,RU,2021-06-13 23:25:54,59.3833,143.3,49.96,66,61,12.3
82,Mount Darwin,ZW,2021-06-13 23:25:54,-16.7725,31.5838,51.78,59,1,2.46
83,Nanortalik,GL,2021-06-13 23:25:55,60.1432,-45.2371,36.57,88,94,6.17
84,Cabo San Lucas,MX,2021-06-13 23:25:55,22.8909,-109.9124,90.52,73,75,3.44
85,Saint Anthony,US,2021-06-13 23:25:56,45.0205,-93.218,94.93,26,1,4.0
86,Amapa,BR,2021-06-13 23:25:57,1.0,-52.0,74.08,96,100,1.36
87,Capreol,CA,2021-06-13 23:25:57,46.706,-80.9225,75.9,51,75,1.01
88,Avarua,CK,2021-06-13 23:25:57,-21.2078,-159.775,77.05,65,90,11.5
89,Barrow,US,2021-06-13 23:25:58,71.2906,-156.7887,35.62,93,90,16.11
90,San Patricio,US,2021-06-13 23:25:58,28.017,-97.5169,95.09,46,6,8.77
91,Kodiak,US,2021-06-13 23:23:56,57.79,-152.4072,51.31,82,1,9.22
92,Haapiti,PF,2021-06-13 23:25:59,-17.5667,-149.8667,82.13,79,19,16.17
93,Ilulissat,GL,2021-06-13 23:21:33,69.2167,-51.1,37.42,75,90,5.75
94,Zabid,YE,2021-06-13 23:25:59,14.1951,43.3152,89.33,47,70,5.95
95,Santa Cruz De Tenerife,ES,2021-06-13 23:26:00,28.4682,-16.2546,70.02,87,90,5.01
96,Saint-Paul,RE,2021-06-13 23:24:32,-21.0096,55.2707,73.49,84,32,3.0
97,Morant Bay,JM,2021-06-13 23:26:01,17.8815,-76.4093,83.82,82,100,9.28
98,Fairbanks,US,2021-06-13 23:24:32,64.8378,-147.7164,74.03,51,75,8.05
99,Georgetown,MY,2021-06-13 23:25:13,5.4112,100.3354,80.53,90,20,3.44
100,Hokitika,NZ,2021-06-13 23:26:01,-42.7167,170.9667,58.06,91,57,4.23
101,Abu Dhabi,AE,2021-06-13 23:23:14,24.4667,54.3667,89.62,70,0,4.61
102,Broome,US,2021-06-13 23:26:02,42.2506,-75.833,79.57,67,75,3.0
103,Klaksvik,FO,2021-06-13 23:26:03,62.2266,-6.589,49.12,87,99,22.01
104,Fort Nelson,CA,2021-06-13 23:26:03,58.8053,-122.7002,74.79,25,40,2.3
105,Zhigansk,RU,2021-06-13 23:26:04,66.7697,123.3711,52.63,81,100,1.3
106,Evinayong,GQ,2021-06-13 23:26:04,1.4368,10.5512,67.8,99,86,2.28
107,Baglung,NP,2021-06-13 23:26:05,28.2719,83.5898,68.95,94,100,2.46
108,Saldanha,ZA,2021-06-13 23:21:29,-33.0117,17.9442,44.65,85,4,3.94
109,Alyangula,AU,2021-06-13 23:26:05,-13.8483,136.4192,75.07,83,57,4.61
110,Meadow Lake,US,2021-06-13 23:26:06,34.8014,-106.5436,101.61,9,4,3.51
111,Isangel,VU,2021-06-13 23:21:47,-19.55,169.2667,80.71,78,40,0.0
112,Albany,US,2021-06-13 23:25:42,42.6001,-73.9662,78.15,59,53,1.01
113,Rajpipla,IN,2021-06-13 23:26:06,21.8667,73.5,83.19,81,57,14.79
114,Solnechnyy,RU,2021-06-13 23:26:07,50.7214,136.6319,59.94,50,3,4.36
115,Sao Joao Da Barra,BR,2021-06-13 23:26:07,-21.6403,-41.0511,67.21,74,93,10.63
116,Kendari,ID,2021-06-13 23:26:08,-3.945,122.4989,74.52,96,100,3.02
117,Maragogi,BR,2021-06-13 23:26:08,-9.0122,-35.2225,75.09,87,65,7.2
118,Upernavik,GL,2021-06-13 23:21:14,72.7868,-56.1549,36.3,83,74,1.68
119,Roma,US,2021-06-13 23:26:09,43.2128,-75.4557,82.44,44,90,3.44
120,Port Elizabeth,ZA,2021-06-13 23:26:09,-33.918,25.5701,59.29,82,0,13.8
121,Honiara,SB,2021-06-13 23:26:10,-9.4333,159.95,84.99,70,57,5.75
122,Norman Wells,CA,2021-06-13 23:26:10,65.282,-126.8329,55.44,62,75,19.57
123,Norrtalje,SE,2021-06-13 23:26:10,59.758,18.705,55.49,74,29,8.32
124,Tiznit,MA,2021-06-13 23:26:11,29.5833,-9.5,62.82,76,3,3.06
125,Ulladulla,AU,2021-06-13 23:26:11,-35.35,150.4667,54.5,68,97,4.0
126,Zaysan,KZ,2021-06-13 23:26:12,47.4667,84.8667,47.93,74,12,8.81
127,Deputatskiy,RU,2021-06-13 23:26:12,69.3,139.9,57.88,48,100,1.36
128,Tuzha,RU,2021-06-13 23:26:13,57.6062,47.936,57.9,97,69,6.53
129,Alofi,NU,2021-06-13 23:26:13,-19.0595,-169.9187,80.49,69,56,14.97
130,Livingston,GB,2021-06-13 23:26:14,55.9029,-3.5226,61.21,81,75,10.36
131,Skagen,DK,2021-06-13 23:26:14,57.7209,10.5839,57.27,92,19,21.79
132,Gigmoto,PH,2021-06-13 23:26:15,13.7796,124.39,81.86,77,97,2.84
133,Xai-Xai,MZ,2021-06-13 23:26:15,-25.0519,33.6442,61.68,88,1,5.32
134,Richton Park,US,2021-06-13 23:26:15,41.4845,-87.7034,87.93,37,1,6.91
135,Ribeira Grande,PT,2021-06-13 23:21:20,38.5167,-28.7,69.73,79,18,3.31
136,Marawi,PH,2021-06-13 23:26:16,7.9986,124.2928,68.65,89,24,1.34
137,Swellendam,ZA,2021-06-13 23:26:16,-34.0226,20.4417,46.78,91,17,3.24
138,Polovinnoye,RU,2021-06-13 23:26:17,54.7914,65.9864,60.78,55,10,4.52
139,Ust-Koksa,RU,2021-06-13 23:26:17,50.2696,85.6108,39.65,90,31,0.43
140,New Norfolk,AU,2021-06-13 23:26:18,-42.7826,147.0587,53.65,88,100,0.96
141,Nikki,BJ,2021-06-13 23:26:18,9.9401,3.2108,79.16,65,69,4.0
142,Pevek,RU,2021-06-13 23:26:18,69.7008,170.3133,39.69,71,100,5.17
143,Tura,IN,2021-06-13 23:24:08,25.5198,90.2201,75.76,92,87,3.89
144,Dubasari,MD,2021-06-13 23:26:19,47.2631,29.1608,57.99,90,100,13.71
145,Antofagasta,CL,2021-06-13 23:24:26,-23.65,-70.4,58.28,81,10,4.52
146,Guebwiller,FR,2021-06-13 23:26:20,47.9167,7.2,59.45,64,6,4.07
147,Dasoguz,TM,2021-06-13 23:26:20,41.8363,59.9666,76.95,18,0,16.11
148,Saskylakh,RU,2021-06-13 23:26:21,71.9167,114.0833,42.78,50,8,10.89
149,Craig,US,2021-06-13 23:26:22,40.5153,-107.5464,93.15,7,1,9.22
150,Rio Grande,BR,2021-06-13 23:26:22,-32.035,-52.0986,56.95,85,0,9.64
151,Coihaique,CL,2021-06-13 23:26:22,-45.5752,-72.0662,35.55,87,20,4.61
152,Sept-Iles,CA,2021-06-13 23:26:23,50.2001,-66.3821,57.25,57,20,1.01
