City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Quatre Cocos,MU,76.08,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
264,Biak,ID,79.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
270,Duverge,DO,75.9,broken clouds,18.3784,-71.5247,Hotel La Casona
274,Sri Aman,MY,87.85,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
278,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
281,Port Blair,IN,84.11,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
283,Hirara,JP,88.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
284,Soe,ID,79.7,broken clouds,-9.8607,124.284,Dena Hotel
285,Kieta,PG,83.07,light rain,-6.2167,155.6333,Uruna Bay Retreat
286,Lufilufi,WS,82.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
288,Polunochnoye,RU,77.18,overcast clouds,60.8697,60.4153,
293,Flagstaff,US,78.46,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
295,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
296,Hasaki,JP,75.49,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
306,Kibala,TD,75.15,clear sky,9.1104,18.3463,hotel safari
307,Rock Sound,BS,81.01,overcast clouds,24.9,-76.2,Rock Sound Club
318,San Quintin,MX,75.43,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
321,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
329,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
331,Lensk,RU,75.52,overcast clouds,60.7253,114.9278,ТинОрС
335,Gwadar,PK,85.75,broken clouds,25.1216,62.3254,Sadaf Resort
339,Yaan,NG,75.07,overcast clouds,7.3833,8.5667,
343,Cairns,AU,89.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
345,Dwarka,IN,88.21,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
346,La Orilla,MX,78.15,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
348,Baturaja,ID,83.82,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
358,Bacolod,PH,86.11,light rain,10.6667,122.95,Planta Hotel & Residences
366,Salalah,OM,86.09,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
367,Drumheller,CA,75.06,few clouds,51.4617,-112.7101,Ramada by Wyndham Drumheller Hotel & Suites
372,Saint-Pierre,RE,76.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
373,Samarai,PG,81.55,scattered clouds,-10.6167,150.6667,Nuli Sapi
374,Coahuayana,MX,76.53,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
383,Kudahuvadhoo,MV,83.12,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
384,Baijiantan,CN,76.78,clear sky,45.6333,85.1833,
390,Kirakira,SB,82.04,scattered clouds,-10.4544,161.9205,SanBiz Lodge
402,Sorong,ID,80.83,light rain,-0.8833,131.25,waigo splash hotel
408,Birao,CF,79.23,overcast clouds,10.2849,22.7882,
410,Russell,US,75.96,clear sky,32.3502,-85.1999,Macs
412,Jambi,ID,85.6,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
414,Buala,SB,82.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
415,Sabha,LY,79.18,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
417,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
421,Careiro Da Varzea,BR,79.41,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
422,Mortka,RU,79.68,scattered clouds,59.3322,66.0214,
425,Vaitape,PF,80.4,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
426,Meulaboh,ID,85.96,light rain,4.1363,96.1285,Kost Pria
430,Honiara,SB,82.6,broken clouds,-9.4333,159.95,Heritage Park Hotel
431,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
438,Gasan,PH,87.12,broken clouds,13.3237,121.8467,Golden SunSet Resort
439,Araouane,ML,89.83,few clouds,18.9048,-3.5265,
440,Balkanabat,TM,85.62,clear sky,39.5108,54.3671,Nebitchi Hotel
444,Naze,JP,76.12,light rain,28.3667,129.4833,奄美ポートタワーホテル
446,Mogadishu,SO,78.67,broken clouds,2.0371,45.3438,Hotel Juba
448,Tari,NG,85.23,clear sky,12.4086,4.4914,
450,Harper,LR,77.86,light rain,4.375,-7.7169,Screensaver
451,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
458,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
459,Dong Hoi,VN,89.62,overcast clouds,17.4833,106.6,Nam Long Hotel
460,Japura,ID,87.85,light rain,-0.3167,102.35,Rumah mbah Jamah
461,Lazaro Cardenas,MX,78.62,broken clouds,17.9583,-102.2,quinta antigua
462,Novotroitsk,RU,81.3,broken clouds,51.203,58.3266,Квартира
465,La Palma,US,79.5,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
466,West Bay,KY,83.07,overcast clouds,19.3667,-81.4167,Calypso Cove
467,Oyama,JP,77.59,moderate rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
468,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
469,Najran,SA,83.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
470,Tecoanapa,MX,79.09,overcast clouds,16.5167,-98.75,Hotel Manglares
471,Eagle Pass,US,85.26,clear sky,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
481,Itoman,JP,79.57,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
483,Shu,KZ,79.9,clear sky,43.5983,73.7614,Shyngyzkhan
486,Manaure,CO,79.11,clear sky,11.7751,-72.4445,Hotel Palaaima
488,Tual,ID,81.34,broken clouds,-5.6667,132.75,Grand Vilia Hotel
494,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
496,Les Cayes,HT,77.2,overcast clouds,18.2,-73.75,Villa Orphee
500,Ughelli,NG,75.88,broken clouds,5.4899,6.0074,Prestige Hotel
505,Durant,US,82.31,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
506,Acapulco,MX,78.31,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
507,Pemangkat,ID,86.95,broken clouds,1.1667,108.9667,Ramah Kost KITA
515,Mazara Del Vallo,IT,76.93,clear sky,37.6641,12.588,Vizier Resort & Spa
522,Lethem,GY,75.42,broken clouds,3.3803,-59.7968,Savannah Inn
528,Lashio,MM,78.44,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
530,Srednekolymsk,RU,78.87,broken clouds,67.45,153.6833,
531,Mubi,NG,79.27,overcast clouds,10.2676,13.2644,Hotel
535,Jiwani,PK,84.81,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
537,Marsh Harbour,BS,81.34,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
538,Sabaudia,IT,77.2,clear sky,41.3003,13.0282,Oasi di Kufra
539,Poum,NC,76.12,clear sky,-20.2333,164.0167,Gîte kajeon
541,Garowe,SO,84.52,overcast clouds,8.4054,48.4845,Curubo Hotel
547,Saint-Joseph,RE,75.47,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
554,Barreirinha,BR,75.7,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
556,Wenling,CN,86.88,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
557,Poya,NC,76.8,scattered clouds,-21.35,165.15,
562,Kantabanji,IN,81.68,overcast clouds,20.4833,82.9167,Kamdhenu Borewell And Trading
566,Maningrida,AU,84.87,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
567,Owatonna,US,75.56,clear sky,44.0839,-93.226,Executive Inn Owatonna
569,Todos Santos,MX,82.74,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
572,Srivardhan,IN,83.3,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
573,Daru,PG,82.38,scattered clouds,-9.0763,143.2092,Daru Lodge
574,Matara,LK,84.27,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
578,Male,MV,89.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
579,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
580,Jiblah,YE,75.9,overcast clouds,13.9216,44.1467,Tiger Tower Hotel
583,Baoning,CN,89.46,scattered clouds,25.3378,110.026,
588,Marawi,PH,78.03,scattered clouds,7.9986,124.2928,Derogongan Residence
591,Hami,CN,77.54,overcast clouds,42.8,93.45,Laoyutang Resort
592,Aksha,RU,76.73,overcast clouds,50.2814,113.2867,
593,Phonhong,LA,84.02,overcast clouds,18.5007,102.4166,Manyvong Guest House
594,Dingle,PH,88.88,light rain,10.9995,122.6711,SEGAYA PROPERTY
596,Mizusawa,JP,80.92,broken clouds,39.1333,141.1333,Mizusawa Kita Hotel
600,Arlit,NE,87.33,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
602,Umm Kaddadah,SD,85.53,overcast clouds,13.6017,26.6876,
603,Bauchi,NG,77.09,broken clouds,10.5,10.0,
604,Jalu,LY,75.63,clear sky,29.0331,21.5482,صاحبة الفخامة
610,Huainan,CN,86.68,light rain,32.6264,116.9969,GME Huainan Tianjiaan District Chaoyang East Road Hotel
614,Wattegama,LK,86.92,overcast clouds,6.7989,81.4808,
619,Sola,VU,80.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
625,Umm Lajj,SA,87.71,clear sky,25.0213,37.2685,Moon light Furnished Units
634,Pahrump,US,85.62,few clouds,36.2083,-115.9839,Best Western Pahrump Oasis
635,Hobyo,SO,81.43,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
636,Mackay,AU,80.58,scattered clouds,-21.15,149.2,International Lodge Motel
637,Zheshart,RU,75.7,scattered clouds,62.0731,49.5733,"Gostinitsa, Zao Zhfk"
638,Ciudad Bolivar,VE,77.59,broken clouds,8.1222,-63.5497,Hotel Edi
639,Badnawar,IN,86.11,broken clouds,23.0167,75.2167,Hotel Mrityunjay
640,Annau,TM,87.3,broken clouds,37.8876,58.516,Buzmein Sokak
642,Vagay,RU,80.37,broken clouds,57.9375,69.0217,
643,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
648,Tautira,PF,80.01,overcast clouds,-17.7333,-149.15,Pension Oaoa
649,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
652,San Policarpo,PH,84.96,clear sky,12.1791,125.5072,JM Lodge
654,Oda,JP,77.77,overcast clouds,35.1833,132.5,Sky Hotel Oda
655,Jacqueville,CI,80.51,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
657,Thinadhoo,MV,82.87,overcast clouds,0.5333,72.9333,
663,Auki,SB,81.95,broken clouds,-8.7676,160.7034,Auki Motel
665,Ranong,TH,87.73,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
